Date;Google trends;Cours;Nombre utilisateurs;Volume transaction;Recherches Youtube;Revenus des mineurs;News du bitcoin;USA unemployment;Gold price
12/10/2013;12;12.10954064;28.17225478;14.30526573;16.57142857;12.35339979;4;7.2;1285.75
13/10/2013;11.85714286;12.32420495;27.46661543;10.884621;17;14.59317857;5;7.2;1285.75
14/10/2013;11.71428571;12.76236749;35.89249688;18.70872728;16.71428571;17.16626275;5;7.2;1276.0
15/10/2013;11.57142857;12.68904594;33.70688827;19.40354741;16.42857143;16.99500171;5;7.2;1255.5
16/10/2013;11.42857143;12.88957597;35.81612066;22.13269959;16.14285714;15.27403326;5;7.2;1278.25
17/10/2013;11.28571429;13.6934629;32.95561533;19.17254897;15.85714286;12.64310875;5;7.2;1308.5
18/10/2013;11.14285714;14.91696113;33.39369776;16.65496647;15.57142857;12.85975777;5;7.2;1317.0
19/10/2013;11;15.25883392;36.24603708;21.15031215;15.28571429;17.77142878;5;7.2;1317.0
20/10/2013;11.42857143;16.1130742;30.75703718;13.12107668;15;17.5737222;7;7.2;1317.0
21/10/2013;11.85714286;16.90194346;35.22960899;18.76851637;17.42857143;17.51203202;7;7.2;1316.0
22/10/2013;12.28571429;18.50265018;42.92247094;36.74721557;19.85714286;23.48274828;7;7.2;1311.75
23/10/2013;12.71428571;17.19257951;41.87674128;25.99677117;22.28571429;20.75166405;7;7.2;1333.0
24/10/2013;13.14285714;15.99823322;42.56172543;26.91733004;24.71428571;20.17732864;7;7.2;1336.25
25/10/2013;13.57142857;15.57332155;39.75886252;36.74195584;27.14285714;20.41701421;7;7.2;1341.75
26/10/2013;14;17.09540636;32.30329523;21.76709517;29.57142857;17.65723639;7;7.2;1341.75
27/10/2013;16.85714286;17.38471731;26.13987895;11.56130046;32;16.51069011;9;7.2;1341.75
28/10/2013;19.71428571;17.67402827;30.63983092;12.60068613;33;17.32651066;9;7.2;1351.0
29/10/2013;22.57142857;17.88339223;33.75684504;29.99115508;34;15.60296275;9;7.2;1346.75
30/10/2013;25.42857143;17.73763251;37.23700644;17.89218212;35;19.62618553;9;7.2;1349.5
31/10/2013;28.28571429;18.01590106;37.26486694;15.98043383;36;20.70332063;9;7.2;1333.75
01/11/2013;31.14285714;18.2614841;35.03986934;16.1230904;37;19.00405796;9;7.0;1314.75
02/11/2013;34;18.18286219;33.23854357;13.29293007;38;21.73410201;9;7.0;1314.75
03/11/2013;33.85714286;19.04770318;30.41070228;11.86582769;39;19.90346949;16;7.0;1314.75
04/11/2013;33.71428571;20.3869258;37.03717936;21.08912762;38.71428571;22.2885398;16;7.0;1314.25
05/11/2013;33.57142857;22.56537102;44.89480257;38.07610068;38.42857143;20.70935032;16;7.0;1311.25
06/11/2013;33.42857143;25.41607774;48.81881064;27.56116306;38.14285714;21.0324383;16;7.0;1317.0
07/11/2013;33.28571429;27.62720848;50.02497838;30.78773476;37.85714286;22.66083708;16;7.0;1316.0
08/11/2013;33.14285714;30.61130742;51.84455759;34.80240616;37.57142857;21.84037351;16;7.0;1309.0
09/11/2013;33;28.7835689;52.09962532;31.44756164;37.28571429;25.56183146;16;7.0;1309.0
10/11/2013;33.42857143;29.26678445;47.01988664;24.20213223;37;24.6702357;17;7.0;1309.0
11/11/2013;33.85714286;31.33038869;41.57123643;19.15032932;42.28571429;32.74195374;17;7.0;1283.75
12/11/2013;34.28571429;32.76501767;45.99241041;24.41906896;47.57142857;32.81960512;17;7.0;1281.0
13/11/2013;34.71428571;36.80918728;48.07858584;23.85563456;52.85714286;36.15364996;17;7.0;1276.0
14/11/2013;35.14285714;37.1704947;54.28955711;29.9379138;58.14285714;34.57440634;17;7.0;1283.25
15/11/2013;35.57142857;38.13515901;46.79364012;24.52984517;63.42857143;34.25186259;17;7.0;1281.75
16/11/2013;36;41.5;46.64040734;23.93195421;68.71428571;41.63877037;17;7.0;1281.75
17/11/2013;42.57142857;48.43286219;41.50782976;18.44112545;74;43.79066805;43;7.0;1281.75
18/11/2013;49.14285714;60.57862191;62.87539629;33.71203339;77.71428571;47.00747223;43;7.0;1283.5
